Year_only,Count
1958,17
1959,16
1960,26
1961,26
1962,36
1963,29
1964,30
1965,42
1966,23
1967,33
1968,49
1969,66
1970,45
1971,46
1972,31
1973,23
1974,298
1975,101
1976,50
1977,269
1978,196
1979,1439
1980,110
1981,275
1982,230
1983,269
1984,268
1985,286
1986,574
1987,727
1988,1825
1989,131
1990,1117
1991,688
1992,241
1993,485
1994,388
1995,445
1996,420
1997,1022
1998,453
1999,935
2000,1314
2001,1066
2002,750
2003,674
2004,209
2005,235
2006,503
2007,201
2008,225
2009,293
2010,374
2011,331
2012,13
2013,1
