locationid,Applicant,FacilityType,cnn,LocationDescription,Address,blocklot,block,lot,permit,Status,FoodItems,FoodItems2,X,Y,Latitude,Longitude,Schedule,dayshours,NOISent,Approved,Received,PriorPermit,ExpirationDate,Location
762182,F & C Catering,Truck,12664000,TOWNSEND ST: 05TH ST to 06TH ST (400 - 499),444 TOWNSEND ST,3785004A,3785,004A,16MFF-0027,APPROVED,Cold Truck: Hot/Cold Sandwiches: Water: Soda: Juice: Snacks: Milk: Candies: Canned Food: Soups: Cup of Noodles: Fruit: Salad,ColdTruck,6012987.023,2110175.723,37.77487132,-122.3985317,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=16MFF-0027&ExportPDF=1&Filename=16MFF-0027_schedule.pdf,Mo-Fr:10AM-11AM,,3/9/16 0:00,3/9/16,1,3/15/17 0:00,"(37.7748713162388, -122.398531708276)"
765673,Quan Catering,Truck,11741000,SELBY ST: HUDSON AVE to INNES AVE (500 - 599),500 SELBY ST,5264049,5264,49,16MFF-0050,APPROVED,Cold Truck: Soft drinks: cup cakes: potato chips: cookies: gum: sandwiches (hot & cold): peanuts: muffins: coff (hot & cold): water: juice: yoplait: milk: orange juice: sunflower seeds: can foods: burritos: buscuits: chimichangas: rice krispies,ColdTruck,6013218.357,2099109.295,37.74449821,-122.3969554,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=16MFF-0050&ExportPDF=1&Filename=16MFF-0050_schedule.pdf,Mo-Fr:8AM-8AM/11AM-12PM,,3/14/16 0:00,3/14/16,1,3/15/17 0:00,"(37.7444982132112, -122.396955405842)"
762369,John's Catering #5,Truck,186201,03RD ST: 16TH ST to MARIPOSA ST (1800 - 1998) -- WEST --,1900 03RD ST,3992003,3992,3,16MFF-0031,APPROVED,Cold Truck: Soda:Chips:Candy: Cold/Hot Sandwiches: Donuts.  (Pitco Wholesale),ColdTruck,6015473.195,2106569.082,37.76510646,-122.3896795,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=16MFF-0031&ExportPDF=1&Filename=16MFF-0031_schedule.pdf,Mo-Fr:9AM-10AM,,3/9/16 0:00,3/9/16,1,3/15/17 0:00,"(37.7651064631908, -122.38967948729)"
765880,Munch A Bunch,Truck,784000,17TH ST: SAN BRUNO AVE to UTAH ST (2200 - 2299),2222 17TH ST,3960001,3960,1,16MFF-0069,APPROVED,Cold Truck: packaged sandwiches: pitas: breakfast: cold and hot drinks: snacks,ColdTruck,6010755.356,2106704.644,37.76521595,-122.406007,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=16MFF-0069&ExportPDF=1&Filename=16MFF-0069_schedule.pdf,Mo-Fr:5AM-6AM,,3/15/16 0:00,3/15/16,1,3/15/17 0:00,"(37.7652159489938, -122.406006972029)"
765690,Park's Catering,Truck,2477000,CESAR CHAVEZ ST: EVANS AVE to KANSAS ST (2100 - 2550),2323 CESAR CHAVEZ ST,4342001,4342,1,16MFF-0051,APPROVED,Cold Truck: Hamburger: cheeseburgers: hot dogs: hot sandwiches: cold sandwiches: egg muffins: cup of noodles: corn dogs: canned soup: coffee: hot cocoa: hot tea: gatorade: juice: milk: soda: water: fruits: fruit salad: rice pudding: yogurt: candy bars: chips: cookies: donuts: granola bars: muffins,ColdTruck,6012210.337,2100696.938,37.74880138,-122.4005525,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=16MFF-0051&ExportPDF=1&Filename=16MFF-0051_schedule.pdf,Mo-Fr:6AM-8AM,,3/15/16 0:00,3/14/16,1,3/15/17 0:00,"(37.7488013777145, -122.400552458785)"
760178,Liang Bai Ping,Truck,13780000,YOSEMITE AVE: INGALLS ST to JENNINGS ST (1400 - 1499),1430 YOSEMITE AVE,4831008,4831,8,16MFF-0016,APPROVED,Cold Truck: Pre-packaged sandwiches: snacks: fruit: various beverages,ColdTruck,6015560.891,2092142.182,37.72549805,-122.3883692,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=16MFF-0016&ExportPDF=1&Filename=16MFF-0016_schedule.pdf,Mo-Fr:12PM-1PM,,3/17/16 0:00,3/3/16,1,3/15/17 0:00,"(37.7254980479505, -122.388369150442)"
761933,"Off the Grid Services, LLC",Truck,307000,05TH ST: BLUXOME ST to TOWNSEND ST (650 - 699),670 05TH ST,3785002,3785,2,16MFF-0024,APPROVED,Everything,ColdTruck,6013152.64,2110433.77,37.77558908,-122.3979769,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=16MFF-0024&ExportPDF=1&Filename=16MFF-0024_schedule.pdf,Mo/We/Fr:8AM-3PM,,3/17/16 0:00,3/8/16,0,3/15/17 0:00,"(37.7755890799594, -122.39797690638)"
760393,Anas Goodies Catering,Truck,11833000,SHOTWELL ST: 15TH ST to 16TH ST (100 - 199),131 SHOTWELL ST,5501 003,5501,3,16MFF-0017,APPROVED,Cold Truck: Sandwiches: Noodles:  Pre-packaged Snacks: Candy: Desserts Various Beverages,ColdTruck,6007971.764,2100466.349,37.74793094,-122.4151932,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=16MFF-0017&ExportPDF=1&Filename=16MFF-0017_schedule.pdf,Mo-Fr:11AM-12PM,,3/4/16 0:00,3/4/16,1,3/15/17 0:00,"(37.7479309361129, -122.415193153909)"
763522,Roadside Rotisserie Corporation / Country Grill,Truck,3419000,BUSH ST: 01ST ST \ MARKET ST to BATTERY ST (1 - 99),1 BUSH ST,290011,290,11,16MFF-0036,APPROVED,Rotisserie Chicken: Ribs: Kickass Salad: Potatos w/fat dripping: chicken wrap.,Authentic,6012652.373,2116027.943,37.79092151,-122.4001004,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=16MFF-0036&ExportPDF=1&Filename=16MFF-0036_schedule.pdf,Mo/We/Fr:9AM-3PM,,3/10/16 0:00,3/10/16,0,3/15/17 0:00,"(37.7909215072692, -122.400100423738)"
763599,D & T Catering,Truck,3184000,BROADWAY: BRODERICK ST to BAKER ST (2800 - 2899),2840 BROADWAY,958004,958,4,16MFF-0037,APPROVED,Cold Truck: Pre-packaged sandwiches: Chicken Bake: Canned Soup: Chili Dog: Corn Dog: Cup of Noodles: Egg Muffins: Hamburgers: Cheeseburgers: Hot Dog: Hot sandwiches: quesadillas: Beverages: Flan: Fruits: Yogurt: Candy: Cookies: Chips: Donuts: Snacks,ColdTruck,6000020.336,2117205.164,37.79344143,-122.4438912,http://bsm.sfdpw.org/PermitsTracker/reports/report.aspx?title=schedule&report=rptSchedule&params=permit=16MFF-0037&ExportPDF=1&Filename=16MFF-0037_schedule.pdf,Mo-Fr:10AM-11AM,,3/10/16 0:00,3/10/16,1,3/15/17 0:00,"(37.7934414335598, -122.443891213784)"
