name,id,nametype,recclass,mass (g),fall,year,reclat,reclong
Nantan,16906,Valid,"Iron, IAB-MG",9500000,Found,1958,25.1,107.7
Santiago Papasquiero,23169,Valid,"Iron, ungrouped",119500,Found,1958,24.5,-106
Calliham,5201,Valid,L6,40000,Found,1958,28.41667,-98.25
Belmont,5008,Valid,H6,25300,Found,1958,42.73333,-90.35
Bison,5061,Valid,LL6,11000,Found,1958,38.30667,-99.71
Sombrerete,23664,Valid,"Iron, IAB-sHL",10000,Found,1958,23.63333,-103.66667
Crow Peak,44709,Valid,"Iron, IIAB",6320,Found,1958,44.47733,-103.972
Ramsdorf,22386,Valid,L6,4682,Fell,1958,51.88333,6.93333
Hajmah (c),11476,Valid,L5/6,1132,Found,1958,19.91667,56.25
Hajmah (b),11475,Valid,L6,890.6,Found,1958,19.91667,56.25
Bir Hadi,5053,Valid,H5,855,Found,1958,19.41667,51.03333
Massenya,15442,Valid,H5,612.4,Found,1958,11.35,16.15
Hajmah (a),11474,Valid,Ureilite,596,Found,1958,19.91667,56.25
Wingellina,24284,Valid,H4,200,Found,1958,-26.05,128.95
Okabe,17998,Valid,H5,194,Fell,1958,36.18333,139.21667
Governador Valadares,10950,Valid,Martian (nakhlite),158,Found,1958,-18.85,-41.95
South Oman,23679,Valid,EH4/5,90,Found,1958,21,56.66667
Liangcheng,14645,Valid,"Iron, IIIAB",200000,Found,1959,40.5,112.5
Yardymly,30352,Valid,"Iron, IAB complex",150200,Fell,1959,38.93333,48.25
Alatage,452,Valid,"Iron, IIIAB",37500,Found,1959,42.33333,93
Elga,10012,Valid,"Iron, IIE",28800,Found,1959,64.7,141.2
Lismore,14660,Valid,"Iron, IIIAB?",10000,Found,1959,-35.95,143.33333
Pribram,18887,Valid,H5,5555,Fell,1959,49.66667,14.03333
Temple,23894,Valid,L6,5000,Found,1959,31.11667,-97.3
Hamlet,11485,Valid,LL4,3710,Fell,1959,41.38333,-86.6
Cee Vee,5305,Valid,H5,3600,Found,1959,34.2,-100.48333
Akwanga,432,Valid,H,3000,Fell,1959,8.91667,8.43333
Bagdad,4920,Valid,"Iron, IIIAB",2200,Found,1959,34.613317,-113.398967
Algarrobo,467,Valid,"Iron, IAB-ung",1280,Found,1959,-27.08333,-70.58333
Kandahar (Afghanistan),12243,Valid,L6,299,Fell,1959,31.6,65.78333
St.-Chinian,23097,Valid,L6,134.3,Fell,1959,43.43333,2.95
Rawlinna 001,22399,Valid,"Pallasite, PMG-an",74,Found,1959,-31.16667,125.26667
