name,id,nametype,recclass,mass,fall,year,reclat,reclong
Colville Lake 002,5413,Valid,H5,100,Found,1986,-29.785,126.58833
Hughes 030,11954,Valid,R3-6,100,Found,1991,-30.668,129.462
Dar al Gani 049,5565,Valid,L4/5,100,Found,1995,27.30583,16.13567
Meteorite Hills 96523,16582,Valid,L6,100,Found,1996,-79.68333,159.75
Dar al Gani 523,6071,Valid,L4/5,100,Found,1997,27.1365,16.0835
Dar al Gani 546,6094,Valid,L6,100,Found,1997,27.20267,16.11717
Queen Alexandra Range 99191,21642,Valid,L6,100,Found,1999,-84,168
Dar al Gani 883,6430,Valid,H5-6,100,Found,2000,27.08333,16.11667
Dar al Gani 884,6431,Valid,H4,100,Found,2000,27.1,16.1
Hammadah al Hamra 270,11753,Valid,L3-5,100,Found,2000,28.686,12.90267
Hammadah al Hamra 298,11781,Valid,L6,100,Found,2000,29.08333,12.46667
Sayh al Uhaymir 030,23222,Valid,L6,100,Found,2000,20.82583,57.19933
Hammadah al Hamra 321,11804,Valid,H5,100,Found,2001,29.03617,11.5065
Dhofar 841,7587,Valid,H6,100,Found,2002,18.63,54.05
Sayh al Uhaymir 126,23318,Valid,L6,100,Found,2002,20.98,57.33333
Jodiya,47362,Valid,L5,100,Fell,2006,22.68,70.31333
Great Sand Sea 026,49490,Valid,H6,100,Found,2007,28.18917,25.62167
United Arab Emirates 022,51044,Valid,L6,100,Found,2009,22.89492,55.17081
Asuka 881923,4632,Valid,LL3,100.05,Found,1988,-72,26
Meteorite Hills 00581,15815,Valid,LL6,100.21,Found,2000,-79.68333,155.75
Yamato 791195,26544,Valid,Eucrite-cm,100.29,Found,1979,-71.5,35.66667
New Moore (a),16958,Valid,OC,100.3,Found,1972,33.11667,-102.11667
Camel Donga 007,5210,Valid,L5,100.3,Found,1986,-30.31667,126.61667
Yamato 791979,27328,Valid,H4,100.33,Found,1979,-71.5,35.66667
Queen Alexandra Range 97288,20746,Valid,L6,100.4,Found,1997,-84,168
Yamato 791982,27331,Valid,H4,100.42,Found,1979,-71.5,35.66667
Ramlat as Sahmah 209,35643,Valid,H5,100.47,Found,2003,20.58408,55.85287
Meteorite Hills A78014,16610,Valid,H6,100.5,Found,1978,-79.68333,155.75
Sayh al Uhaymir 465,51664,Valid,H~6,100.5,Found,2008,20.0136,56.55787
Asuka 880987,3696,Valid,H5,100.52,Found,1988,-72,26
Asuka 881780,4489,Valid,H4,100.53,Found,1988,-72,26
Asuka 880070,2779,Valid,H5,100.55,Found,1988,-72,26
Yamato 790271,25620,Valid,H4,100.6,Found,1979,-71.5,35.66667
Reid 026,22581,Valid,LL6,100.6,Found,1991,-30.24833,128.63528
Elephant Moraine 96293,9884,Valid,Ureilite,100.6,Found,1996,-76.18333,157.16667
Jiddat al Harasis 452,48603,Valid,L4,100.614,Found,2007,19.74997,56.30958
Ramlat as Sahmah 333,55641,Valid,H3.6,100.68,Found,2010,20.80225,55.44393
Geologists Range 99104,10878,Valid,L6,100.7,Found,1999,-82.5,155.5
Meteorite Hills 00626,15860,Valid,H6,100.78,Found,2000,-79.68333,155.75
Allan Hills 84159,761,Valid,H6,100.8,Found,1984,-76.72351,158.70345
Lewis Cliff 88169,13922,Valid,L6,100.8,Found,1988,-84.24933,161.49368
Graves Nunataks 95219,10979,Valid,H5,100.8,Found,1995,-86.71667,-141.5
Elephant Moraine 96251,9842,Valid,H6,100.8,Found,1996,-76.18333,157.16667
Queen Alexandra Range 97804,21259,Valid,H6,100.8,Found,1997,-84,168
Asuka 882065,4774,Valid,H6,100.85,Found,1988,-72,26
Shi��r 160,48649,Valid,Lunar,100.86,Found,2008,18.33633,53.3335
Meteorite Hills 00490,15725,Valid,LL5,100.92,Found,2000,-79.68333,155.75
Ramlat as Sahmah 402,55497,Valid,H4,100.94,Found,2010,20.14505,55.76795
Grove Mountains 022219,46598,Valid,L5,100.95,Found,2003,-72.77833,75.32083
Bronco (b),5148,Valid,OC,101,Found,1980,33.275,-102.96
Pecora Escarpment 91389,18680,Valid,LL6,101,Found,1991,-85.63333,-68.7
Dar al Gani 529,6077,Valid,L6,101,Found,1997,27.01867,16.32033
Acfer 400,55264,Valid,CR2,101,Found,2001,27.50083,3.86617
Dhofar 480,7241,Valid,Eucrite,101,Found,2001,19.13828,54.89889
Dhofar 693,7450,Valid,H5,101,Found,2001,19.4212,54.7952
Acfer 382,35483,Valid,H5,101,Found,2002,27.63333,3.93333
Eldee 002,47704,Valid,L6-melt breccia,101,Found,2006,-31.66417,141.23375
Dar al Gani 1021,5638,Valid,H5,101.1,Found,2000,27.01083,16.18167
Ramlat as Sahmah 265,48633,Valid,L3,101.15,Found,2002,20.02968,56.4332
Sayh al Uhaymir 139,23331,Valid,H4/5,101.18,Found,2001,21.18697,57.20867
Queen Alexandra Range 99314,21764,Valid,L5,101.2,Found,1999,-84,168
Asuka 882085,4794,Valid,L6,101.24,Found,1988,-72,26
Elephant Moraine 96186,9778,Valid,H6,101.3,Found,1996,-76.18333,157.16667
Grove Mountains 022025,46815,Valid,L6,101.39,Found,2003,-72.78361,75.29639
Allan Hills 84164,766,Valid,L6,101.4,Found,1984,-76.82065,158.25808
Elephant Moraine 90157,8566,Valid,L6,101.4,Found,1990,-76.27738,156.51248
Queen Alexandra Range 97015,20422,Valid,LL5,101.4,Found,1997,-84,168
Yamato 793470,28819,Valid,L6,101.41,Found,1979,-71.5,35.66667
Asuka 87311,2668,Valid,H4,101.42,Found,1987,-72,26
Meteorite Hills 00501,15736,Valid,LL6,101.46,Found,2000,-79.68333,155.75
Meteorite Hills 00549,15784,Valid,L5,101.48,Found,2000,-79.68333,155.75
Thylacine Hole 001,23981,Valid,H4/5,101.5,Found,1977,-31.58333,127.6
Lewis Cliff 87174,13640,Valid,L6,101.5,Found,1987,-84.35231,161.20166
MacAlpine Hills 88135,15299,Valid,H5,101.6,Found,1988,-84.21667,160.5
Queen Alexandra Range 97431,20887,Valid,LL5,101.6,Found,1997,-84,168
Yamato 791558,26907,Valid,LL3.15,101.64,Found,1979,-71.5,35.66667
Elephant Moraine 90266,8675,Valid,L6,101.7,Found,1990,-76.27918,156.47755
Queen Alexandra Range 99312,21762,Valid,L5,101.7,Found,1999,-84,168
Lewis Cliff 86312,13244,Valid,H5,101.8,Found,1986,-84.29439,161.31133
Queen Alexandra Range 97490,20946,Valid,LL5,101.8,Found,1997,-84,168
Queen Alexandra Range 97491,20947,Valid,LL5,101.8,Found,1997,-84,168
Queen Alexandra Range 99037,21489,Valid,L5,101.9,Found,1999,-84,168
Shalim 012,51965,Valid,H4,101.9,Found,2009,18.94255,55.63143
Umm as Samim 021,55421,Valid,H5,101.98,Found,2010,21.23513,55.53483
Nullagine,17940,Valid,H5,102,Found,1973,-21.86667,120.11667
Tanezrouft 009,23810,Valid,H4/5,102,Found,1989,25.33333,0.46667
Queen Alexandra Range 93525,19613,Valid,L5,102,Found,1993,-84,168
Dhofar 047,6746,Valid,L5/6,102,Found,1999,19.22183,54.69267
Dar al Gani 814,6361,Valid,L4,102,Found,2000,26.99,16.39783
Dar al Gani 885,6432,Valid,H6,102,Found,2000,26.1,16.06667
Dhofar 777,7523,Valid,LL6,102,Found,2000,18.84122,54.7564
Northwest Africa 542,17789,Valid,LL6,102,Found,2000,31.1,-5.18333
Dhofar 539,7300,Valid,H5,102,Found,2001,18.18833,54.16667
Dhofar 863,7609,Valid,L5,102,Found,2002,19.38333,54.59333
El M��dano 020,54483,Valid,L6,102,Found,2010,-24.85,-70.53333
Grove Mountains 021791,46801,Valid,L5,102.02,Found,2003,-72.77361,75.32222
Asuka 881372,4081,Valid,L6,102.09,Found,1988,-72,26
Asuka 881695,4404,Valid,L3,102.13,Found,1988,-72,26
Ramlat as Sahmah 260,35689,Valid,H~6,102.4,Found,2004,20.0018,56.4922
Yamato 74081,24459,Valid,H4,102.5,Found,1974,-71.80528,36.175
Allan Hills 88012,1056,Valid,L6,102.5,Found,1988,-76.72243,158.7182
Pecora Escarpment 91183,18474,Valid,H5,102.5,Found,1991,-85.68782,-67.72854
Yamato 790538,25887,Valid,LL,102.58,Found,1979,-71.5,35.66667
Allan Hills A78119,1734,Valid,LL3.5,102.6,Found,1978,-76.71667,159.66667
Elephant Moraine 87587,8137,Valid,L6,102.6,Found,1987,-76.27598,156.50251
Lewis Cliff 85340,12810,Valid,L5,102.7,Found,1985,-84.28505,161.36984
Asuka 881237,3946,Valid,H6,102.79,Found,1988,-72,26
Lewis Cliff 86225,13161,Valid,H5,102.8,Found,1986,-84.27397,161.68717
Meteorite Hills 00605,15839,Valid,L5,102.88,Found,2000,-79.68333,155.75
Elephant Moraine 90442,8851,Valid,L6,102.9,Found,1990,-76.27185,156.44137
Graves Nunataks 98043,11035,Valid,Eucrite-br,102.9,Found,1998,-86.71667,-141.5
MacAlpine Hills 02632,14930,Valid,H6,102.9,Found,2002,-84.21667,160.5
Grove Mountains 022023,46813,Valid,L5,102.91,Found,2003,-72.78306,75.30278
Yamato 75139,25180,Valid,L6,103,Found,1975,-71.5,35.66667
Allan Hills 88011,1055,Valid,H3,103,Found,1988,-76.72395,158.74208
Acfer 180,188,Valid,H3.9-5,103,Found,1990,27.6,4.16667
Dar al Gani 343,5891,Valid,H4,103,Found,1997,27.15467,16.079
Dar al Gani 508,6056,Valid,H4,103,Found,1997,27.26683,16.06683
Dar al Gani 531,6079,Valid,L6,103,Found,1997,27.18867,16.33383
Dar al Gani 415,5963,Valid,H5/6,103,Found,1998,27.3785,16.1855
Dar al Gani 598,6145,Valid,H5,103,Found,1998,26.92817,16.476
Dhofar 638,7395,Valid,L6,103,Found,2001,19.20277,54.65562
Ramlat as Sahmah 303,51904,Valid,H4,103,Found,2009,20.44722,56.12088
