name,id,nametype,recclass,mass,fall,year,reclat,reclong
Nantan,16906,Valid,"Iron, IAB-MG",9500000,Found,1958,25.1,107.7
Jilin,12171,Valid,H5,4000000,Fell,1976,44.05,126.16667
Yingde,30363,Valid,"Iron, IVA",3000000,Found,1964,24.2,113.4
Xifu,54608,Valid,"Iron, IAB complex",3000000,Found,2004,36.3,120.48333
Al Haggounia 001,44857,Valid,Aubrite,3000000,Found,2006,27.5,-12.5
Old Woman,18007,Valid,"Iron, IIAB",2753000,Found,1976,34.46667,-115.23333
Allende,2278,Valid,CV3,2000000,Fell,1969,26.96667,-105.31667
Zhaoping,54609,Valid,"Iron, IAB complex",2000000,Found,1983,24.23333,111.18333
Campinorte,52093,Valid,"Iron, ungrouped",2000000,Found,1992,-14.258,-49.15917
Gebel Kamil,52031,Valid,"Iron, ungrouped",1600000,Found,2009,22.01833,26.08778
Tsarev,24058,Valid,L5,1225300,Found,1968,48.7,45.7
Alkhamasin,475,Valid,"Iron, IIAB",1200000,Found,1973,20.6,44.88333
Kunya-Urgench,12379,Valid,H5,1100000,Fell,1998,42.25,59.2
Fukang,34491,Valid,"Pallasite, PMG",1003000,Found,2000,44.43333,87.63333
Bilibino,5046,Valid,"Iron, IIAB",1000000,Found,1981,67.3,160.8
Zhigansk,30405,Valid,"Iron, IIIAB",900000,Found,1966,68,128.3
Zerhamra,30403,Valid,"Iron, IIIAB-an",630000,Found,1967,29.85861,-2.645
Jiddat al Harasis 073,12135,Valid,L6,550000,Found,2002,19.7,55.73333
Wildara,24265,Valid,H5,500000,Found,1968,-28.23333,120.85
Jepara,53840,Valid,"Pallasite, PMG",499500,Found,2008,-6.6,110.73333
Saint-Aubin,23096,Valid,"Iron, IIIAB",472000,Found,1968,48.48333,3.58333
Etter,10062,Valid,L5,450000,Found,1965,35.98333,-101.9
Sayh al Uhaymir 001,23193,Valid,L5,450000,Found,2000,20.51667,56.66667
Allan Hills A76009,1316,Valid,L6,407000,Found,1976,-76.71667,159.66667
Mont Dieu,16722,Valid,"Iron, ungrouped",360000,Found,1994,49.55,4.86667
Longtian,14696,Valid,"Iron, IIIAB",350000,Found,1991,27.35,108.5
Millbillillie,16643,Valid,Eucrite-mmict,330000,Fell,1960,-26.45,120.36667
Sterlitamak,23724,Valid,"Iron, IIIAB",325000,Fell,1990,53.66667,55.98333
Seymchan,23510,Valid,"Pallasite, PMG",323300,Found,1967,62.9,152.43333
Nova Petropolis,17928,Valid,"Iron, IIIAB",305000,Found,1967,-29.43333,-50.91667
Bruderheim,5156,Valid,L6,303000,Fell,1960,53.9,-112.88333
Bur-Abor,5166,Valid,"Iron, IIIAB",290000,Found,1997,3.98333,41.65
Clovis (no. 1),5385,Valid,H3.6,283000,Found,1961,34.3,-103.13472
Rio Limay,22609,Valid,L5,280000,Found,1995,-39.85,-69.48333
Sanclerlandia,23132,Valid,"Iron, IIIAB",279000,Found,1971,-16.21667,-50.3
Mount Padbury,16785,Valid,Mesosiderite-A1,272000,Found,1964,-25.66667,118.1
Saint-Sթverin,23102,Valid,LL6,271000,Fell,1966,45.3,0.23333
Miles,16641,Valid,"Iron, IIE",265000,Found,1992,-27.83333,150.33333
Tishomingo,24010,Valid,"Iron, ungrouped",260000,Found,1965,34.25,-96.68333
Suizhou,23738,Valid,L6,260000,Fell,1986,31.61667,113.46667
Dhofar 020,6719,Valid,H4/5,256000,Found,2000,19.03333,54.51667
